window,r2_potential,r2_complexity,r2_innovation,r2_GCI,r2_GCP,r2_patents,skew_patents,ratio_top_med,eu_mean_GCI,eu_sd_GCI,world_sd_GCI
2012-2016,0.448434827676416,0.023452024989901,0.728196868147062,0.0211668213958789,0.0208763442127343,0.772953564304902,1.42578367275173,18.8165045347641,1.40477263326384,1.06340054342661,1
2013-2017,0.397118757259114,0.0134226406871025,0.686692551243291,0.0121907283520933,0.0118249509089142,0.749270860194772,1.3054298892671,15.9148254184004,1.40714474823541,1.05045906370719,1
2014-2018,0.345652321236989,0.00975697155139128,0.630626586974983,0.00995845308368501,0.00745857842534632,0.738242228394116,1.37663989122632,16.171693918041,1.38134916527695,1.0271233276835,1
2015-2019,0.303639218600794,0.00594488437890167,0.583585184811752,0.00788294708750698,0.00314605687300364,0.737956229318585,1.57457047193912,18.3818755453605,1.38811520840578,1.03061526536671,1
2016-2020,0.268414659861116,0.00369676368685911,0.538908800338447,0.00853246757642956,0.000463369117436983,0.71286239500902,1.72185880013719,19.1383388884565,1.40511885172337,1.03942263807877,1
2017-2021,0.21061886862934,0.000935428021454981,0.461026798309755,0.00523675246457657,0.000222763054957848,0.677958438632779,1.97637049897208,19.3946987141674,1.41736272790174,1.02407416555891,1
