country,year,ShareRenewables_PrimEnProd,ShareFossils_PrimEnProd
DNK,1999,0.0699762095184713,0.916899861640712
DNK,2000,0.065324030363566,0.92293286051971
DNK,2001,0.0706074336925025,0.916655598545545
DNK,2002,0.0710066631019985,0.916278607965181
DNK,2003,0.0803364554945618,0.905870770129388
DNK,2004,0.0792632151951216,0.907873274336586
DNK,2005,0.0808977520171282,0.906143014951949
DNK,2006,0.0868293400912115,0.899217865449747
DNK,2007,0.105695447297421,0.87856296476939
DNK,2008,0.104422804138027,0.878844326369274
DNK,2009,0.116406763467693,0.865966704527207
DNK,2010,0.13372061888574,0.84874785820073
DNK,2011,0.150802617427716,0.829200683425166
DNK,2012,0.163138538064837,0.816573510416329
DNK,2013,0.191179309065122,0.78644907457547
DNK,2014,0.20674885858835,0.769878292710968
DNK,2015,0.231216774693376,0.745322752868473
DNK,2016,0.244992475919023,0.730448219067209
DNK,2017,0.25392994558509,0.720852990202078
DNK,2018,0.286267438793894,0.686187388798583
DNK,2019,0.335092424026728,0.634167023254927
DNK,2020,0.454789437091195,0.505078995054048
DNK,2021,0.479427719737598,0.481213548260744
DNK,2022,0.507543408050699,0.455197156008701
DNK,2023,0.540919914646177,0.422356238135197
EST,1990,0.0300172520175672,0
EST,1991,0.0340635179775389,0
EST,1992,0.0474267121917904,0
EST,1993,0.0549348667575837,0
EST,1994,0.0910474117027877,0
EST,1995,0.128233517408962,0
EST,1996,0.143776437265151,0
EST,1997,0.152651377204959,0
EST,1998,0.147835131300648,0
EST,1999,0.160749959017289,0
EST,2000,0.151399760581437,0
EST,2001,0.162097599309612,0
EST,2002,0.16329311263301,0
EST,2003,0.169782701379774,0
EST,2004,0.171094643364858,0
EST,2005,0.171338442952745,0
EST,2006,0.160941925384659,0
EST,2007,0.157985164724021,0
EST,2008,0.179561767704946,0
EST,2009,0.227804210158179,0
EST,2010,0.195518772078673,0
EST,2011,0.192399405079115,0
EST,2012,0.222329471071695,0
EST,2013,0.207620039888855,0
EST,2014,0.222352243931216,0
EST,2015,0.267329240486013,0
EST,2016,0.282857262751776,0
EST,2017,0.268196295203611,0
EST,2018,0.291184593642907,0
EST,2019,0.366641669090102,0
EST,2020,0.420589639118884,0
EST,2021,0.441254715202703,0
EST,2022,0.408494708056006,0
EST,2023,0.41493144109351,0
GRC,1990,0.120090416543196,0.879909583456804
GRC,1991,0.136096087396889,0.86390391260311
GRC,1992,0.129699616204403,0.865366567097254
GRC,1993,0.131200992373314,0.865497462368425
GRC,1994,0.131531242120005,0.862807039193293
GRC,1995,0.13862918001357,0.857363739062117
GRC,1996,0.150653364516974,0.844967994186889
GRC,1997,0.142775636352513,0.852852521849187
GRC,1998,0.138088692953789,0.857076336564631
GRC,1999,0.151814848878422,0.841532230936651
GRC,2000,0.145371719205606,0.848297882176484
GRC,2001,0.137381593744436,0.858779600250333
GRC,2002,0.141484348246767,0.854906988471725
GRC,2003,0.16107828298554,0.835571268974554
GRC,2004,0.157776797628983,0.838894517658626
GRC,2005,0.164246025702188,0.833360371824716
GRC,2006,0.182041117330537,0.817409682662067
GRC,2007,0.167532743520032,0.831921636871639
GRC,2008,0.171640687460258,0.827954197708694
GRC,2009,0.184159147352483,0.815442402331758
GRC,2010,0.214226774920812,0.782399475952152
GRC,2011,0.211839143678656,0.785261387609001
GRC,2012,0.221844336004199,0.776730744267212
GRC,2013,0.271920186956723,0.725827969378812
GRC,2014,0.269872013469118,0.727787944897684
GRC,2015,0.317019929162186,0.672529851616435
GRC,2016,0.379364843688405,0.611757205319645
GRC,2017,0.371824672730696,0.628175327269304
GRC,2018,0.400423464697969,0.595732879587791
GRC,2019,0.48133118716396,0.512077886351224
GRC,2020,0.648643690095801,0.349402154179671
GRC,2021,0.709126621778302,0.289360168020328
GRC,2022,0.682996959758493,0.315083798973933
GRC,2023,0.738516966331949,0.259813745980865
ESP,1990,0.181092931995186,0.409695005126386
ESP,1991,0.179882240802699,0.397862512893487
ESP,1992,0.152518879372133,0.415966593226313
ESP,1993,0.170985788169056,0.384711650206419
ESP,1994,0.186014592027038,0.365482593343828
ESP,1995,0.175708606450241,0.360891267935681
ESP,1996,0.214759079338514,0.331107523481682
ESP,1997,0.21079440621099,0.328718722886617
ESP,1998,0.210826390807912,0.308393625452796
ESP,1999,0.197674935266975,0.296107884760403
ESP,2000,0.215251852517515,0.266374260212867
ESP,2001,0.243192867150996,0.258157608983018
ESP,2002,0.217799892766672,0.261998459362692
ESP,2003,0.280567055612417,0.22881698081435
