growth_model,gap_pct,int_pba_g_per_eur,net_export_to_EU_Mt,net_pct_of_own_pba,gap_pct_country_mean,int_country_mean
Periphery,27,271,-51,-3.6,18,474
Finance,25,294,20.6,7,49,261
Core,22,278,-39.4,-3,34,254
Workbench,0,741,69.8,8.1,11,689
