iso3,country,ECI,GCI,GCP,diversity
DEU,Germany,2.07459740509414,4.00468886014563,2.55393934518401,1941
ITA,Italy,1.15670839887506,3.09104437713164,3.31602704101522,2126
AUT,Austria,1.59807728357079,2.75655526981162,2.03139591072146,1448
CZE,Czechia,1.75124052322146,2.57173043731413,1.66086916797548,1219
DNK,Denmark,0.993806645250667,2.35865470680664,1.84620445222348,1416
FRA,France,1.29747183687866,2.00782208537641,2.58107153491138,1756
POL,Poland,0.982839523538091,1.93057365408654,2.21915484578386,1537
SWE,Sweden,1.63455147407546,1.8165451374675,1.32885329735877,1106
HUN,Hungary,1.44670606001164,1.65195321832435,0.864159891741729,880
ROU,Romania,0.976748117487561,1.6369186671855,1.15780730228943,1037
SVN,Slovenia,1.4923426407261,1.63609996475703,1.20847193110516,1004
ESP,Spain,0.719308636075421,1.47056376835478,2.89614988944457,1954
EST,Estonia,1.0031746052215,1.43739147750769,0.98862804475509,982
HRV,Croatia,0.773548780180115,1.42714027149471,1.05584815676932,1019
BGR,Bulgaria,0.508952979041633,1.2469171789558,1.37066172909825,1199
FIN,Finland,1.51230129387271,1.22512730213546,0.806090576371848,871
SVK,Slovakia,1.49721446495912,1.20855824671724,0.798516328861853,838
NLD,Netherlands,1.24575346903787,1.10536344466874,2.09552062566063,1570
PRT,Portugal,0.371069457295462,0.974455168366828,1.77494479031943,1437
LTU,Lithuania,0.739647828491779,0.965850628971544,1.24518116050067,1109
LVA,Latvia,0.717499690415953,0.909881629835288,0.973909447473332,998
LUX,Luxembourg,1.43610580593876,0.475832721492476,0.521634450031817,737
BEL,Belgium,1.35350402565517,0.428787362108401,1.57659801787823,1292
GRC,Greece,0.176627614272775,0.019695306109929,0.602238588081396,901
MLT,Malta,0.894809678816607,-0.039594663739336,-0.308377677986637,399
IRL,Ireland,1.43131587982499,-0.220464449746005,-0.372631616176523,368
CYP,Cyprus,0.529659591805395,-0.509795224984025,-0.184315356788728,487
