iso3,period,vulnerability,potential,group
AUT,2014–18,-0.646551017432179,1.17018344246572,Core
AUT,2019–22,-0.798481804679435,1.13141785908816,Core
BEL,2014–18,-0.743645040404021,-0.179329145426247,Core
BEL,2019–22,-0.874547161391507,-0.351570801781199,Core
BGR,2014–18,2.95836643949723,-0.177136823455357,Workbench
BGR,2019–22,2.30057011080716,-0.0472998236280095,Workbench
CYP,2014–18,-0.44527020184037,-1.69568634848385,Periphery
CYP,2019–22,-0.707352072852731,-1.8851764023795,Periphery
CZE,2014–18,1.52007701767767,0.725022577823243,Workbench
CZE,2019–22,1.04789661640296,0.815323888720391,Workbench
DEU,2014–18,-0.221551031407079,1.9942286338792,Core
DEU,2019–22,-0.4939818731395,2.0918760482319,Core
DNK,2014–18,-0.0894912046121303,0.715604244854605,Core
DNK,2019–22,-0.536442356800996,0.814191553357497,Core
ESP,2014–18,-0.732536073563654,0.949556925401663,Periphery
ESP,2019–22,-0.891725870170313,0.974044957277076,Periphery
EST,2014–18,0.874034503618744,-0.270088911716725,Workbench
EST,2019–22,0.0396487226696633,-0.174610839702244,Workbench
FIN,2014–18,-0.422097374706928,-0.249503920918575,Core
FIN,2019–22,-0.56675613757629,-0.39350841553281,Core
FRA,2014–18,-1.00869704678662,1.01105485042154,Periphery
FRA,2019–22,-1.10246467925095,1.06719126526432,Periphery
GRC,2014–18,0.813004942654251,-1.31663945150011,Periphery
GRC,2019–22,0.145941579775493,-1.14269191009729,Periphery
HRV,2014–18,1.02754979540297,-0.189091589268828,Workbench
HRV,2019–22,0.646549286595905,-0.140085042415051,Workbench
HUN,2014–18,0.97021628227729,-0.0672350852347133,Workbench
HUN,2019–22,0.654421551342746,-0.136603213270507,Workbench
IRL,2014–18,-0.682570237287513,-1.73536270545694,Finance
IRL,2019–22,-0.808814860469074,-1.84606759049433,Finance
ITA,2014–18,-0.467698229434621,2.05138563981774,Periphery
ITA,2019–22,-0.608746893597201,2.06768012130447,Periphery
LTU,2014–18,0.253556918005761,-0.357696759826071,Workbench
LTU,2019–22,-0.0366489434605003,-0.268216649653246,Workbench
LUX,2014–18,-1.04105720470114,-0.9754324102906,Finance
LUX,2019–22,-1.20269376505983,-0.952757723160449,Finance
LVA,2014–18,0.358946535915096,-0.530619472453328,Workbench
LVA,2019–22,0.165898021380081,-0.45828136574127,Workbench
MLT,2014–18,-1.23972336053669,-1.85875347767944,Finance
MLT,2019–22,-1.37563042122175,-1.71368782316198,Finance
NLD,2014–18,0.372397246860488,0.0249721914582095,Finance
NLD,2019–22,-0.0953672828995243,0.308841172463404,Finance
POL,2014–18,2.3088605257135,0.633932990403039,Workbench
POL,2019–22,1.79350785018329,0.812273351843727,Workbench
PRT,2014–18,-0.517094391485261,0.0645755393638595,Periphery
PRT,2019–22,-0.676131676604104,0.0504750614646539,Periphery
ROU,2014–18,1.44857058667159,-0.133353440681512,Workbench
ROU,2019–22,1.07855488629155,0.0297252944659498,Workbench
SVK,2014–18,0.244885096663587,-0.492264107653798,Workbench
SVK,2019–22,-0.0460507163938444,-0.406636637171955,Workbench
SVN,2014–18,0.376788021834726,0.109368690028656,Workbench
SVN,2019–22,0.0241103566441054,0.0593481730136939,Workbench
SWE,2014–18,-1.12222753147161,0.248317166411912,Core
SWE,2019–22,-1.22230643364847,0.224796249411325,Core
