iso3,GCI_base,GCP_base,GCI_rec,GCP_rec,dGCI,dGCP,group
AUT,2.77206966401504,2.08312242387431,2.75655526981162,2.03139591072146,-0.0155143942034188,-0.0517265131528459,Core
BEL,0.573396102977048,1.73992555149362,0.428787362108401,1.57659801787823,-0.144608740868647,-0.16332753361539,Core
BGR,1.08120110446885,1.29737836461602,1.2469171789558,1.37066172909825,0.165716074486954,0.0732833644822288,Workbench
CYP,-0.303876890781838,-0.0457834367102706,-0.509795224984025,-0.184315356788728,-0.205918334202187,-0.138531920078457,Periphery
CZE,2.36275187363535,1.69226206955784,2.57173043731413,1.66086916797548,0.208978563678782,-0.0313929015823555,Workbench
DEU,3.86905805239876,2.50849070083035,4.00468886014563,2.55393934518401,0.135630807746868,0.0454486443536628,Core
DNK,2.46607421730061,1.58558592273011,2.35865470680664,1.84620445222348,-0.10741951049397,0.260618529493371,Core
ESP,1.61936691933217,2.7240985755337,1.47056376835478,2.89614988944457,-0.148803150977386,0.172051313910872,Periphery
EST,1.27527901048065,0.970108258034765,1.43739147750769,0.98862804475509,0.162112467027043,0.0185197867203255,Workbench
FIN,1.51865392061393,0.790944817681599,1.22512730213546,0.806090576371848,-0.293526618478466,0.0151457586902494,Core
FRA,2.11839670786075,2.3892540362179,2.00782208537641,2.58107153491138,-0.110574622484338,0.191817498693481,Periphery
GRC,-0.102100327286385,0.415987412759028,0.019695306109929,0.602238588081396,0.121795633396314,0.186251175322368,Periphery
HRV,1.39069606996053,1.00524750682515,1.42714027149471,1.05584815676932,0.0364442015341824,0.0506006499441687,Workbench
HUN,1.81045261180838,0.841832485783244,1.65195321832435,0.864159891741729,-0.158499393484034,0.0223274059584854,Workbench
IRL,-0.185124189579329,-0.217035365097393,-0.220464449746005,-0.372631616176523,-0.0353402601666763,-0.15559625107913,Finance
ITA,3.1320933297172,3.25248142744354,3.09104437713164,3.31602704101522,-0.0410489525855571,0.0635456135716765,Periphery
LTU,0.911500614432809,1.14207579103909,0.965850628971544,1.24518116050067,0.0543500145387348,0.103105369461578,Workbench
LUX,0.459813767235479,0.497481125766138,0.475832721492476,0.521634450031817,0.0160189542569973,0.0241533242656787,Finance
LVA,0.784451740063472,0.962168899418885,0.909881629835288,0.973909447473332,0.125429889771816,0.0117405480544466,Workbench
MLT,-0.164620268324788,-0.443094612277878,-0.039594663739336,-0.308377677986637,0.125025604585452,0.134716934291241,Finance
NLD,0.68180602789502,1.98911720722914,1.10536344466874,2.09552062566063,0.423557416773721,0.106403418431489,Finance
POL,1.94508251269308,1.9057170049386,1.93057365408654,2.21915484578386,-0.0145088586065374,0.31343784084526,Workbench
PRT,1.14375703178679,1.64994137091895,0.974455168366828,1.77494479031943,-0.169301863419962,0.125003419400483,Periphery
ROU,1.46334368505753,1.03538341223845,1.6369186671855,1.15780730228943,0.173574982127974,0.122423890050981,Workbench
SVK,1.16743112795993,0.690286763911335,1.20855824671724,0.798516328861853,0.0411271187573075,0.108229564950518,Workbench
SVN,1.60768601203668,1.31777753294295,1.63609996475703,1.20847193110516,0.0284139527203493,-0.10930560183779,Workbench
SWE,1.89778703472002,1.29711746489144,1.8165451374675,1.32885329735877,-0.0812418972525244,0.0317358324673345,Core
